Game ID,Date,Time,League Name,Season,Country,Home Team,Away Team,Home Logo,Away Logo,Home Q1 Score,Home Q2 Score,Home Q3 Score,Home Q4 Score,Home Total Score,Away Q1 Score,Away Q2 Score,Away Q3 Score,Away Q4 Score,Away Total Score,Game Status,Timezone
406462,2024-09-20T17:30:00+00:00,17:30,Pro A,2024-2025,Germany,Trier,Tubingen,https://media.api-sports.io/basketball/teams/563.png,https://media.api-sports.io/basketball/teams/564.png,14,22,15,18,69,22,23,18,14,77,Game Finished,UTC
406463,2024-09-20T18:00:00+00:00,18:00,Pro A,2024-2025,Germany,Koblenz,Bochum,https://media.api-sports.io/basketball/teams/2267.png,https://media.api-sports.io/basketball/teams/569.png,17,20,5,22,64,12,29,22,18,81,Game Finished,UTC
406464,2024-09-21T16:00:00+00:00,16:00,Pro A,2024-2025,Germany,Dresden,Dusseldorf,https://media.api-sports.io/basketball/teams/571.png,https://media.api-sports.io/basketball/teams/572.png,24,19,25,16,84,17,15,21,21,74,Game Finished,UTC
406465,2024-09-21T17:00:00+00:00,17:00,Pro A,2024-2025,Germany,Bayreuth,Crailsheim Merlins,https://media.api-sports.io/basketball/teams/523.png,https://media.api-sports.io/basketball/teams/525.png,25,28,29,21,103,20,29,32,25,106,Game Finished,UTC
406466,2024-09-21T17:00:00+00:00,17:00,Pro A,2024-2025,Germany,Kirchheim,Giessen,https://media.api-sports.io/basketball/teams/554.png,https://media.api-sports.io/basketball/teams/527.png,25,26,20,21,92,17,16,26,14,73,Game Finished,UTC
406467,2024-09-21T17:00:00+00:00,17:00,Pro A,2024-2025,Germany,Phoenix Hagen,Jena,https://media.api-sports.io/basketball/teams/560.png,https://media.api-sports.io/basketball/teams/553.png,19,24,16,17,76,24,11,24,25,84,Game Finished,UTC
406468,2024-09-21T17:30:00+00:00,17:30,Pro A,2024-2025,Germany,Munster,PS Karlsruhe,https://media.api-sports.io/basketball/teams/580.png,https://media.api-sports.io/basketball/teams/557.png,22,23,19,20,84,14,16,18,25,73,Game Finished,UTC
406469,2024-09-22T13:00:00+00:00,13:00,Pro A,2024-2025,Germany,Bremerhaven,Vechta 2,https://media.api-sports.io/basketball/teams/549.png,https://media.api-sports.io/basketball/teams/4944.png,28,29,25,29,111,16,12,18,18,64,Game Finished,UTC
406470,2024-09-22T13:00:00+00:00,13:00,Pro A,2024-2025,Germany,Nurnberger,Artland,https://media.api-sports.io/basketball/teams/556.png,https://media.api-sports.io/basketball/teams/548.png,20,19,11,21,71,21,15,15,23,74,Game Finished,UTC
406471,2024-09-28T15:00:00+00:00,15:00,Pro A,2024-2025,Germany,Vechta 2,Trier,https://media.api-sports.io/basketball/teams/4944.png,https://media.api-sports.io/basketball/teams/563.png,21,21,21,21,84,25,29,32,26,112,Game Finished,UTC
406472,2024-09-28T17:00:00+00:00,17:00,Pro A,2024-2025,Germany,Bochum,Dusseldorf,https://media.api-sports.io/basketball/teams/569.png,https://media.api-sports.io/basketball/teams/572.png,15,20,21,23,79,23,24,13,13,73,Game Finished,UTC
406473,2024-09-28T17:00:00+00:00,17:00,Pro A,2024-2025,Germany,Phoenix Hagen,Kirchheim,https://media.api-sports.io/basketball/teams/560.png,https://media.api-sports.io/basketball/teams/554.png,24,10,15,26,75,16,23,19,12,70,Game Finished,UTC
406474,2024-09-28T17:30:00+00:00,17:30,Pro A,2024-2025,Germany,Artland,Bayreuth,https://media.api-sports.io/basketball/teams/548.png,https://media.api-sports.io/basketball/teams/523.png,25,32,23,26,106,23,30,19,24,96,Game Finished,UTC
406475,2024-09-28T17:30:00+00:00,17:30,Pro A,2024-2025,Germany,Tubingen,Munster,https://media.api-sports.io/basketball/teams/564.png,https://media.api-sports.io/basketball/teams/580.png,14,19,11,23,67,17,22,26,20,85,Game Finished,UTC
406476,2024-09-28T18:00:00+00:00,18:00,Pro A,2024-2025,Germany,Crailsheim Merlins,Nurnberger,https://media.api-sports.io/basketball/teams/525.png,https://media.api-sports.io/basketball/teams/556.png,18,25,22,19,84,20,18,17,12,67,Game Finished,UTC
406477,2024-09-29T13:00:00+00:00,13:00,Pro A,2024-2025,Germany,Giessen,PS Karlsruhe,https://media.api-sports.io/basketball/teams/527.png,https://media.api-sports.io/basketball/teams/557.png,12,14,22,18,66,15,23,12,14,64,Game Finished,UTC
406478,2024-09-29T14:00:00+00:00,14:00,Pro A,2024-2025,Germany,Jena,Bremerhaven,https://media.api-sports.io/basketball/teams/553.png,https://media.api-sports.io/basketball/teams/549.png,18,24,18,21,81,24,22,20,9,75,Game Finished,UTC
406479,2024-09-29T15:00:00+00:00,15:00,Pro A,2024-2025,Germany,Koblenz,Dresden,https://media.api-sports.io/basketball/teams/2267.png,https://media.api-sports.io/basketball/teams/571.png,17,19,23,20,79,25,25,15,11,76,Game Finished,UTC
406480,2024-10-05T16:00:00+00:00,16:00,Pro A,2024-2025,Germany,Bremerhaven,Crailsheim Merlins,https://media.api-sports.io/basketball/teams/549.png,https://media.api-sports.io/basketball/teams/525.png,18,22,19,26,85,23,18,30,23,94,Game Finished,UTC
406481,2024-10-05T17:00:00+00:00,17:00,Pro A,2024-2025,Germany,Bayreuth,Phoenix Hagen,https://media.api-sports.io/basketball/teams/523.png,https://media.api-sports.io/basketball/teams/560.png,11,26,24,17,78,30,30,18,25,103,Game Finished,UTC
406482,2024-10-05T17:00:00+00:00,17:00,Pro A,2024-2025,Germany,Dusseldorf,Jena,https://media.api-sports.io/basketball/teams/572.png,https://media.api-sports.io/basketball/teams/553.png,19,16,18,16,69,22,27,25,22,96,Game Finished,UTC
406483,2024-10-05T17:30:00+00:00,17:30,Pro A,2024-2025,Germany,Munster,Giessen,https://media.api-sports.io/basketball/teams/580.png,https://media.api-sports.io/basketball/teams/527.png,30,16,27,18,91,22,24,27,17,90,Game Finished,UTC
406484,2024-10-05T17:30:00+00:00,17:30,Pro A,2024-2025,Germany,PS Karlsruhe,Vechta 2,https://media.api-sports.io/basketball/teams/557.png,https://media.api-sports.io/basketball/teams/4944.png,29,25,21,20,95,18,15,18,20,71,Game Finished,UTC
406485,2024-10-06T13:00:00+00:00,13:00,Pro A,2024-2025,Germany,Nurnberger,Tubingen,https://media.api-sports.io/basketball/teams/556.png,https://media.api-sports.io/basketball/teams/564.png,23,22,15,17,77,21,15,25,18,79,Game Finished,UTC
406486,2024-10-06T14:00:00+00:00,14:00,Pro A,2024-2025,Germany,Dresden,Artland,https://media.api-sports.io/basketball/teams/571.png,https://media.api-sports.io/basketball/teams/548.png,25,31,18,22,96,34,26,25,24,109,Game Finished,UTC
406487,2024-10-06T15:00:00+00:00,15:00,Pro A,2024-2025,Germany,Kirchheim,Bochum,https://media.api-sports.io/basketball/teams/554.png,https://media.api-sports.io/basketball/teams/569.png,18,17,14,21,70,12,18,15,18,63,Game Finished,UTC
406488,2024-10-06T15:00:00+00:00,15:00,Pro A,2024-2025,Germany,Trier,Koblenz,https://media.api-sports.io/basketball/teams/563.png,https://media.api-sports.io/basketball/teams/2267.png,24,14,19,23,80,15,14,12,21,62,Game Finished,UTC
406489,2024-10-12T16:00:00+00:00,16:00,Pro A,2024-2025,Germany,Bremerhaven,Dresden,https://media.api-sports.io/basketball/teams/549.png,https://media.api-sports.io/basketball/teams/571.png,20,34,18,26,98,19,15,18,20,72,Game Finished,UTC
406490,2024-10-12T17:00:00+00:00,17:00,Pro A,2024-2025,Germany,Phoenix Hagen,PS Karlsruhe,https://media.api-sports.io/basketball/teams/560.png,https://media.api-sports.io/basketball/teams/557.png,30,20,23,27,100,16,18,18,17,69,Game Finished,UTC
406491,2024-10-12T17:00:00+00:00,17:00,Pro A,2024-2025,Germany,Bochum,Nurnberger,https://media.api-sports.io/basketball/teams/569.png,https://media.api-sports.io/basketball/teams/556.png,17,19,21,11,68,17,9,14,15,55,Game Finished,UTC
