Game ID,Date,Time,League Name,Season,Country,Home Team,Away Team,Home Logo,Away Logo,Home Q1 Score,Home Q2 Score,Home Q3 Score,Home Q4 Score,Home Total Score,Away Q1 Score,Away Q2 Score,Away Q3 Score,Away Q4 Score,Away Total Score,Game Status,Timezone
425068,2024-10-04T16:00:00+00:00,16:00,NBA,2024-2025,USA,Denver Nuggets,Boston Celtics,https://media.api-sports.io/basketball/teams/139.png,https://media.api-sports.io/basketball/teams/133.png,32,31,17,23,103,25,31,23,28,107,Game Finished,UTC
425069,2024-10-05T02:30:00+00:00,02:30,NBA,2024-2025,USA,Los Angeles Lakers,Minnesota Timberwolves,https://media.api-sports.io/basketball/teams/145.png,https://media.api-sports.io/basketball/teams/149.png,23,26,39,19,107,36,22,37,29,124,Game Finished,UTC
425070,2024-10-05T23:00:00+00:00,23:00,NBA,2024-2025,USA,Los Angeles Clippers,Golden State Warriors,https://media.api-sports.io/basketball/teams/144.png,https://media.api-sports.io/basketball/teams/141.png,26,23,22,19,90,23,30,16,22,91,Game Finished,UTC
425071,2024-10-06T14:00:00+00:00,14:00,NBA,2024-2025,USA,Boston Celtics,Denver Nuggets,https://media.api-sports.io/basketball/teams/133.png,https://media.api-sports.io/basketball/teams/139.png,34,33,42,21,130,29,31,16,28,104,Game Finished,UTC
425072,2024-10-06T21:00:00+00:00,21:00,NBA,2024-2025,USA,Charlotte Hornets,New York Knicks,https://media.api-sports.io/basketball/teams/135.png,https://media.api-sports.io/basketball/teams/151.png,35,26,29,19,109,29,32,26,24,111,Game Finished,UTC
425073,2024-10-06T23:30:00+00:00,23:30,NBA,2024-2025,USA,Toronto Raptors,Washington Wizards,https://media.api-sports.io/basketball/teams/159.png,https://media.api-sports.io/basketball/teams/161.png,34,22,35,34,125,16,22,36,24,98,Game Finished,UTC
425074,2024-10-07T00:00:00+00:00,00:00,NBA,2024-2025,USA,Detroit Pistons,Milwaukee Bucks,https://media.api-sports.io/basketball/teams/140.png,https://media.api-sports.io/basketball/teams/148.png,28,32,31,29,120,39,19,21,8,87,Game Finished,UTC
425075,2024-10-07T01:30:00+00:00,01:30,NBA,2024-2025,USA,Los Angeles Lakers,Phoenix Suns,https://media.api-sports.io/basketball/teams/145.png,https://media.api-sports.io/basketball/teams/155.png,34,35,23,22,114,25,32,28,33,118,Game Finished,UTC
425076,2024-10-07T17:30:00+00:00,17:30,NBA,2024-2025,USA,New Orleans Pelicans,Orlando Magic,https://media.api-sports.io/basketball/teams/150.png,https://media.api-sports.io/basketball/teams/153.png,31,25,25,25,106,28,26,21,29,104,Game Finished,UTC
425077,2024-10-08T00:00:00+00:00,00:00,NBA,2024-2025,USA,Dallas Mavericks,Memphis Grizzlies,https://media.api-sports.io/basketball/teams/138.png,https://media.api-sports.io/basketball/teams/146.png,29,31,30,26,116,32,28,33,28,121,Game Finished,UTC
