Game ID,Date,Time,League Name,Season,Country,Home Team,Away Team,Home Logo,Away Logo,Home Q1 Score,Home Q2 Score,Home Q3 Score,Home Q4 Score,Home Total Score,Away Q1 Score,Away Q2 Score,Away Q3 Score,Away Q4 Score,Away Total Score,Game Status,Timezone
405818,2024-09-13T18:00:00+00:00,18:00,Pro B,2024-2025,France,Caen,Poitiers,https://media.api-sports.io/basketball/teams/114.png,https://media.api-sports.io/basketball/teams/109.png,23,12,29,20,95,22,17,21,24,91,After Over Time,UTC
405819,2024-09-13T18:00:00+00:00,18:00,Pro B,2024-2025,France,Roanne,Chartres,https://media.api-sports.io/basketball/teams/19.png,https://media.api-sports.io/basketball/teams/1482.png,22,23,31,32,108,13,23,14,21,71,Game Finished,UTC
405820,2024-09-13T18:00:00+00:00,18:00,Pro B,2024-2025,France,Evreux,Fos-sur-Mer,https://media.api-sports.io/basketball/teams/105.png,https://media.api-sports.io/basketball/teams/110.png,16,15,21,23,75,17,23,14,31,85,Game Finished,UTC
405821,2024-09-13T18:00:00+00:00,18:00,Pro B,2024-2025,France,Pau-Orthez,Vichy,https://media.api-sports.io/basketball/teams/3007.png,https://media.api-sports.io/basketball/teams/5190.png,19,25,18,13,75,21,13,21,16,71,Game Finished,UTC
405822,2024-09-13T18:00:00+00:00,18:00,Pro B,2024-2025,France,Nantes,Aix Maurienne,https://media.api-sports.io/basketball/teams/97.png,https://media.api-sports.io/basketball/teams/104.png,20,11,20,23,74,25,22,14,26,87,Game Finished,UTC
405823,2024-09-13T18:30:00+00:00,18:30,Pro B,2024-2025,France,ASA,St. Chamond,https://media.api-sports.io/basketball/teams/3067.png,https://media.api-sports.io/basketball/teams/102.png,20,22,27,30,99,26,29,23,16,94,Game Finished,UTC
405824,2024-09-13T18:30:00+00:00,18:30,Pro B,2024-2025,France,Hyeres-Toulon,Rouen,https://media.api-sports.io/basketball/teams/1480.png,https://media.api-sports.io/basketball/teams/101.png,13,19,17,14,63,16,25,20,24,85,Game Finished,UTC
405825,2024-09-14T18:00:00+00:00,18:00,Pro B,2024-2025,France,Ada Blois,Denain-Voltaire,https://media.api-sports.io/basketball/teams/95.png,https://media.api-sports.io/basketball/teams/94.png,23,18,25,17,83,16,19,17,18,70,Game Finished,UTC
405826,2024-09-14T18:00:00+00:00,18:00,Pro B,2024-2025,France,Boulazac,Chalons-Reims,https://media.api-sports.io/basketball/teams/22.png,https://media.api-sports.io/basketball/teams/12.png,17,18,24,20,79,16,22,12,12,62,Game Finished,UTC
405827,2024-09-14T18:00:00+00:00,18:00,Pro B,2024-2025,France,Orleans,Antibes,https://media.api-sports.io/basketball/teams/15.png,https://media.api-sports.io/basketball/teams/107.png,27,20,10,21,78,12,15,24,20,71,Game Finished,UTC
